Delivery Address,Total Price Amount,Order Date
"BUILDERS FIRST SOURCE, 87 WISNER AVENUE, #272, MIDDLETOWN, NY, 10940",0,02/17/2026
"MESSCO BUILDING SUPPLY INC, 2400 STATE ROUTE 208, WALDEN, NY, 12586",296.45,05/07/2026
"MESSCO BUILDING SUPPLY INC, 2400 STATE ROUTE 208, WALDEN, NY, 12586",452.2,04/07/2026
"WALTER & JACKSON INC., 44 E GAY STREET, CHRISTIANA, PA, 17509",182,04/29/2026
"84 LUMBER /ROCHESTER, 1505 SCOTTSVILLE RD, ROCHESTER, NY, 14623-1934","2,352.00",01/07/2026
"84 LUMBER /ROCHESTER, 1505 SCOTTSVILLE RD, ROCHESTER, NY, 14623-1934",980,01/07/2026
"CURTIS CASH & CARRY, 1657 COLUMBIA TURNPIKE, STORE # 1904, CASTLETON, NY, 12033",310.24,05/15/2026
"CURTIS CASH & CARRY, 1657 COLUMBIA TURNPIKE, STORE # 1904, CASTLETON, NY, 12033","1,900.22",03/19/2026
"CURTIS CASH & CARRY, 1657 COLUMBIA TURNPIKE, STORE # 1904, CASTLETON, NY, 12033","2,598.26",02/05/2026
"DUKES LUMBER CO INC, 28504 DUKES LUMBER AVE., LAUREL, DE, 19956","2,728.32",03/17/2026
"DYKES LUMBER, 6001 TONNELLE AVE, NORTH BERGEN, NJ, 07047",0,01/28/2026
"HOME DEPOT, 65 INDEPENDENCE DRIVE, STORE#2612, HYANNIS, MA, 02601","10,603.25",12/22/2025
"HOME DEPOT, 65 INDEPENDENCE DRIVE, STORE#2612, HYANNIS, MA, 02601",0,12/15/2025
"MESSCO BUILDING SUPPLY INC, 2400 STATE ROUTE 208, WALDEN, NY, 12586","14,600.84",03/31/2026
"NATIONAL LUMBER CO, 25 CENTRAL STREET, BERLIN, MA, 01503",764.61,04/17/2026
"NATIONAL LUMBER CO, 25 CENTRAL STREET, BERLIN, MA, 01503",279.3,01/29/2026
"NATIONAL LUMBER CO, 25 CENTRAL STREET, BERLIN, MA, 01503","3,475.50",08/25/2025
"NATIONAL LUMBER, 33 MASON STREET, SALEM, MA, 01970",926.8,11/12/2025
"NATIONAL LUMBER, 33 MASON STREET, SALEM, MA, 01970","4,749.85",09/19/2025
"RK MILES, 207 PORTLAND STREET, MEMBER#199100, MORRISVILLE, VT, 05661","1,482.25",03/27/2026
"TAGUE LUMBER, 6100 EASTON ROAD, MEMBER#273500, PIPERSVILLE, PA, 18947",142.59,12/29/2025
"TAGUE LUMBER, 6100 EASTON ROAD, MEMBER#273500, PIPERSVILLE, PA, 18947",0,12/04/2025
"TAGUE LUMBER, 6100 EASTON ROAD, MEMBER#273500, PIPERSVILLE, PA, 18947",735.49,11/19/2025
"TIMBERLINE ENTERPRISES, 110 HANCOCK STREET, BRAINTREE, MA, 02184","1,045.38",05/27/2026
"TIMBERLINE ENTERPRISES, 110 HANCOCK STREET, BRAINTREE, MA, 02184",852.81,05/14/2026
"TUCKERTON LUMBER, 13 RAILROAD AVE, TUCKERTON, NJ, 08087","9,299.78",05/26/2026
"WALTER & JACKSON INC., 44 E GAY STREET, CHRISTIANA, PA, 17509","3,435.25",04/20/2026
